ticker,price,judgment,score,rsi,macd_diff,ma20,ma50,bb_pct,momentum_1w,momentum_1m,momentum_3m,vol_ratio,pe_ratio,eps_growth,revenue_growth,signals
0700.HK,498.8,HOLD,-20,34.8,-0.619,525.91,561.89,15.2,-9.31,-4.08,-18.83,0.69,12.799522,0.149,0.127,"['RSI=34.8 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=15.2%(買いシグナル)']"
005930.KS,187900.0,HOLD,-15,51.0,-1183.45,193990.0,171930.0,36.9,-3.09,-2.64,77.62,0.75,6.537273,1.622,0.238,"['RSI=51.0 中立', 'MACD デッドクロス(売りシグナル)']"
1299.HK,79.3,HOLD,-20,41.9,-0.252,84.09,84.77,-13.1,-4.46,-6.54,-4.05,0.71,11.88699,0.094,0.06,"['RSI=41.9 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-13.1%(買いシグナル)']"
9988.HK,119.7,HOLD,-10,28.8,-0.354,134.07,149.94,-0.3,-11.07,-19.12,-18.24,0.83,14.77595,-0.709,0.017,"['RSI=28.8 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-0.3%(買いシグナル)', '1ヶ月モメンタム -19.1%(強い下落)']"
0939.HK,7.82,HOLD,-15,43.9,-0.001,7.96,7.91,20.1,-3.58,-2.98,3.71,0.79,5.27207,0.0,0.03,"['RSI=43.9 中立', 'MACD デッドクロス(売りシグナル)']"
1810.HK,31.82,HOLD,0,37.7,0.054,33.9,35.3,12.6,-10.01,-10.97,-20.05,0.84,18.223597,1.187,0.223,"['RSI=37.7 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=12.6%(買いシグナル)', '1ヶ月モメンタム -11.0%(強い下落)']"
000660.KS,938000.0,HOLD,-15,50.4,-2832.463,965426.12,874150.01,39.3,-3.3,-1.18,71.8,0.65,4.293434,0.852,0.661,"['RSI=50.4 中立', 'MACD デッドクロス(売りシグナル)']"
005935.KS,132000.0,HOLD,-15,50.3,-600.357,135950.0,122470.0,38.3,-6.38,-3.01,59.49,0.67,5.810519,1.622,0.238,"['RSI=50.3 中立', 'MACD デッドクロス(売りシグナル)']"
3690.HK,76.6,HOLD,0,37.6,0.784,78.42,88.09,29.7,-4.25,-5.9,-25.49,0.6,42.99269,,0.02,"['RSI=37.6 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)']"
005380.KS,487500.0,HOLD,-5,45.2,-8491.647,539571.2,495580.42,19.5,-6.61,-6.38,69.72,0.67,9.473068,,,"['RSI=45.2 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=19.5%(買いシグナル)']"
0388.HK,380.2,HOLD,-20,31.9,-1.689,403.39,411.8,-34.4,-5.98,-6.61,-5.1,1.25,25.096075,0.151,0.138,"['RSI=31.9 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-34.4%(買いシグナル)']"
1398.HK,6.38,HOLD,15,47.5,0.013,6.41,6.39,41.4,-2.45,-1.09,4.08,0.75,5.5201006,0.08,0.058,"['RSI=47.5 中立', 'MACD ゴールデンクロス(買いシグナル)']"
2318.HK,57.95,HOLD,-10,26.4,-0.41,64.36,67.95,-3.2,-8.16,-16.98,-11.19,1.23,6.2041035,0.46,0.355,"['RSI=26.4 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-3.2%(買いシグナル)', '1ヶ月モメンタム -17.0%(強い下落)']"
1211.HK,103.6,HOLD,20,59.7,0.723,98.77,97.63,83.7,-0.86,4.28,10.51,1.43,18.43163,-0.36,-0.031,"['RSI=59.7 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=83.7%(売りシグナル)']"
3988.HK,4.59,BUY,30,49.3,0.011,4.58,4.58,52.2,-1.29,-2.13,4.32,0.57,5.51339,-0.053,0.028,"['RSI=49.3 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)']"
402340.KS,558000.0,HOLD,-15,49.4,-2171.829,582350.0,527730.0,36.4,-4.94,-3.79,92.08,1.05,3.5143697,,1.081,"['RSI=49.4 中立', 'MACD デッドクロス(売りシグナル)']"
