ticker,price,judgment,score,rsi,macd_diff,ma20,ma50,bb_pct,momentum_1w,momentum_1m,momentum_3m,vol_ratio,pe_ratio,eps_growth,revenue_growth,signals,order_book
005930.KS,281000.0,BUY,40,65.4,2674.021,246925.0,214065.94,79.4,0.72,30.09,48.2,1.15,5.417367,4.96,0.693,"['RSI=65.4 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', '1ヶ月モメンタム +30.1%(強い上昇)']",{}
9988.HK,131.1,HOLD,-15,48.3,-0.022,132.93,129.77,37.7,-1.65,-4.31,-15.64,1.05,13.557798,1.005,0.029,"['RSI=48.3 中立', 'MACD デッドクロス(売りシグナル)']",{}
1299.HK,86.3,BUY,30,51.7,0.162,85.3,85.1,61.9,-0.17,3.35,7.47,0.65,12.907787,0.094,0.06,"['RSI=51.7 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)']",{}
0700.HK,447.4,SELL,-30,35.5,-0.758,471.96,493.47,17.7,-1.0,-13.38,-14.92,0.84,11.694894,0.229,0.091,"['RSI=35.5 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=17.7%(買いシグナル)', '1ヶ月モメンタム -13.4%(強い下落)']",{}
0939.HK,8.76,HOLD,-5,52.2,-0.037,8.86,8.44,14.2,-1.57,-1.35,10.05,0.32,5.522924,0.0,0.05,"['RSI=52.2 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=14.2%(買いシグナル)']",{}
1810.HK,30.54,HOLD,0,43.5,0.091,31.1,32.07,32.5,-2.92,-5.51,-17.1,0.64,16.55714,-0.337,0.073,"['RSI=43.5 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)']",{}
005935.KS,185100.0,BUY,40,61.7,419.661,170135.0,148139.13,72.4,-1.02,26.26,39.06,0.97,4.1243,4.96,0.693,"['RSI=61.7 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', '1ヶ月モメンタム +26.3%(強い上昇)']",{}
3690.HK,81.95,HOLD,-15,44.9,-0.099,83.76,82.66,22.4,-2.61,-3.76,-0.24,0.9,15.47347,,0.028,"['RSI=44.9 中立', 'MACD デッドクロス(売りシグナル)']",{}
000660.KS,1840000.0,HOLD,20,72.5,32225.341,1503350.0,1178740.0,78.7,0.27,63.12,106.2,1.18,4.8130198,3.966,1.981,"['RSI=72.5 買われすぎ(売りシグナル)', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', '1ヶ月モメンタム +63.1%(強い上昇)']",{}
005380.KS,663000.0,BUY,40,65.1,13041.438,585700.0,534440.0,79.1,2.63,23.23,29.81,1.07,13.35012,,0.034,"['RSI=65.1 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', '1ヶ月モメンタム +23.2%(強い上昇)']",{}
