ticker,price,judgment,score,rsi,macd_diff,ma20,ma50,bb_pct,momentum_1w,momentum_1m,momentum_3m,vol_ratio,pe_ratio,eps_growth,revenue_growth,signals,order_book
0939.HK,8.94,HOLD,5,60.7,0.02,8.69,8.7,104.0,2.05,1.82,11.06,0.78,5.61114,0.0,0.05,"['RSI=60.7 中立', 'MACD ゴールデンクロス(買いシグナル)', 'BB上限付近 bb_pct=104.0%(売りシグナル)']",{}
0700.HK,462.8,HOLD,15,51.9,3.338,450.41,469.14,72.2,3.67,1.4,-16.17,0.53,12.073229,0.229,0.091,"['RSI=51.9 中立', 'MACD ゴールデンクロス(買いシグナル)']",{}
005930.KS,322500.0,HOLD,0,57.4,-4192.627,307250.0,256071.0,65.3,9.14,8.95,66.67,1.04,5.6141367,4.921,0.692,"['RSI=57.4 中立', 'MACD デッドクロス(売りシグナル)', 'MA 上昇トレンド(買いシグナル)']",{}
1299.HK,74.45,SELL,-50,36.1,-0.902,79.81,82.36,23.5,2.48,-13.54,-9.18,1.72,11.011489,0.094,0.06,"['RSI=36.1 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -13.5%(強い下落)', '出来高急増 1.7x(注目)']",{}
9988.HK,109.5,SELL,-30,32.8,-1.757,123.35,127.24,1.7,-7.72,-17.14,-18.19,0.72,11.334701,1.041,0.029,"['RSI=32.8 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=1.7%(買いシグナル)', '1ヶ月モメンタム -17.1%(強い下落)']",{}
1810.HK,26.22,SELL,-30,30.7,-0.242,28.63,30.24,9.2,-4.24,-14.59,-25.51,0.7,14.872015,-0.581,-0.109,"['RSI=30.7 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=9.2%(買いシグナル)', '1ヶ月モメンタム -14.6%(強い下落)']",{}
005935.KS,207000.0,HOLD,0,57.2,-2246.505,197210.0,170488.0,66.1,7.53,6.87,47.24,0.83,3.9173563,4.921,0.692,"['RSI=57.2 中立', 'MACD デッドクロス(売りシグナル)', 'MA 上昇トレンド(買いシグナル)']",{}
3690.HK,77.85,SELL,-30,45.6,-0.004,79.43,82.51,37.2,2.1,-5.86,-0.57,0.68,16.35594,,0.056,"['RSI=45.6 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)']",{}
000660.KS,2150000.0,HOLD,0,58.4,-39845.203,2071505.42,1571317.98,59.8,12.51,9.16,121.69,0.99,5.2874093,3.966,1.981,"['RSI=58.4 中立', 'MACD デッドクロス(売りシグナル)', 'MA 上昇トレンド(買いシグナル)']",{}
005380.KS,607000.0,HOLD,-15,45.0,-16594.672,665155.66,583881.24,19.0,-5.01,-14.43,16.71,0.87,12.2730465,-0.263,0.034,"['RSI=45.0 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=19.0%(買いシグナル)', '1ヶ月モメンタム -14.4%(強い下落)']",{}
0388.HK,380.0,HOLD,-20,33.2,-2.959,399.65,407.19,8.4,-1.76,-8.74,-6.45,1.28,24.313822,0.27,0.19,"['RSI=33.2 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=8.4%(買いシグナル)']",{}
2318.HK,57.1,SELL,-30,38.6,-0.069,58.07,59.4,26.7,0.44,-5.41,-5.1,1.42,5.211176,-0.132,-0.033,"['RSI=38.6 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)']",{}
1398.HK,7.18,HOLD,5,66.6,0.039,6.83,6.86,113.1,3.61,4.21,13.95,1.1,5.7337337,0.043,0.034,"['RSI=66.6 中立', 'MACD ゴールデンクロス(買いシグナル)', 'BB上限付近 bb_pct=113.1%(売りシグナル)']",{}
3988.HK,5.49,HOLD,20,68.2,0.016,5.27,5.18,110.8,2.43,5.17,19.87,1.03,6.0528827,0.0,0.059,"['RSI=68.2 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=110.8%(売りシグナル)']",{}
1211.HK,86.05,SELL,-30,36.5,-0.278,90.55,98.68,12.6,-1.8,-10.36,-17.1,0.48,13.957725,-0.569,-0.118,"['RSI=36.5 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=12.6%(買いシグナル)', '1ヶ月モメンタム -10.4%(強い下落)']",{}
402340.KS,1358000.0,HOLD,-10,62.7,-12507.299,1203950.0,931233.54,90.1,21.47,15.97,131.65,1.58,4.092333,4.201,3.188,"['RSI=62.7 中立', 'MACD デッドクロス(売りシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=90.1%(売りシグナル)', '1ヶ月モメンタム +16.0%(強い上昇)', '出来高急増 1.6x(注目)']",{}
9888.HK,114.7,HOLD,-15,36.8,-2.257,126.87,123.89,8.7,-1.12,-15.54,-6.67,0.58,12.893098,-0.593,-0.012,"['RSI=36.8 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=8.7%(買いシグナル)', '1ヶ月モメンタム -15.5%(強い下落)']",{}
9961.HK,368.6,HOLD,0,41.4,0.634,374.79,395.19,30.2,-0.91,-5.29,-10.4,0.59,9.82401,0.981,0.208,"['RSI=41.4 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)']",{}
9999.HK,199.3,BUY,30,63.0,0.554,188.56,182.65,83.2,6.18,11.42,6.71,0.69,12.081362,0.031,0.061,"['RSI=63.0 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=83.2%(売りシグナル)', '1ヶ月モメンタム +11.4%(強い上昇)']",{}
105560.KS,161200.0,BUY,30,54.6,57.024,155690.0,155236.56,76.8,6.4,3.33,7.74,1.17,8.526317,0.168,0.152,"['RSI=54.6 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)']",{}
9618.HK,112.2,HOLD,-25,42.9,-0.888,117.75,117.7,25.7,-1.15,-12.28,1.08,0.76,6.826109,-0.507,0.049,"['RSI=42.9 中立', 'MACD デッドクロス(売りシグナル)', '1ヶ月モメンタム -12.3%(強い下落)']",{}
034020.KS,93100.0,SELL,-40,39.1,-1613.926,102625.0,108954.0,22.9,8.51,-20.5,-10.82,0.84,92.20759,,0.137,"['RSI=39.1 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -20.5%(強い下落)']",{}
0857.HK,10.28,HOLD,-20,38.7,-0.067,10.71,10.89,13.7,-3.84,-5.6,-3.2,0.41,8.862219,0.019,-0.022,"['RSI=38.7 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=13.7%(買いシグナル)']",{}
012450.KS,1078000.0,SELL,-40,37.0,-6600.776,1156550.0,1314460.0,30.7,7.16,-17.46,-22.78,1.02,19.1797,2.849,0.049,"['RSI=37.0 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -17.5%(強い下落)']",{}
086790.KS,121000.0,HOLD,15,52.7,46.671,118055.0,119057.1,71.0,7.65,-4.35,11.09,1.15,6.893622,0.114,0.257,"['RSI=52.7 中立', 'MACD ゴールデンクロス(買いシグナル)']",{}
000270.KS,166800.0,HOLD,-10,53.2,-682.931,163655.0,159200.0,61.9,10.17,-6.34,4.08,1.73,7.0735617,-0.225,0.053,"['RSI=53.2 中立', 'MACD デッドクロス(売りシグナル)', 'MA 上昇トレンド(買いシグナル)', '出来高急増 1.7x(注目)']",{}
2899.HK,31.16,SELL,-40,41.8,-0.229,32.49,34.79,28.0,0.12,-10.13,-14.56,1.43,8.266489,0.957,0.248,"['RSI=41.8 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -10.1%(強い下落)']",{}
