ticker,price,judgment,score,rsi,macd_diff,ma20,ma50,bb_pct,momentum_1w,momentum_1m,momentum_3m,vol_ratio,pe_ratio,eps_growth,revenue_growth,signals
0700.HK,502.5,HOLD,-20,35.8,-0.383,526.1,561.96,19.3,-8.64,-3.37,-18.23,0.25,12.894467,0.149,0.127,"['RSI=35.8 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=19.3%(買いシグナル)']"
9988.HK,120.2,HOLD,-10,29.1,-0.322,134.1,149.95,1.0,-10.7,-18.78,-17.9,0.28,14.83767,-0.709,0.017,"['RSI=29.1 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=1.0%(買いシグナル)', '1ヶ月モメンタム -18.8%(強い下落)']"
0939.HK,7.84,HOLD,15,44.7,0.0,7.96,7.91,23.9,-3.33,-2.73,3.98,0.26,5.2855535,0.0,0.03,"['RSI=44.7 中立', 'MACD ゴールデンクロス(買いシグナル)']"
1299.HK,81.9,HOLD,-20,45.7,-0.086,84.22,84.82,14.6,-1.33,-3.48,-0.91,0.23,12.3056345,0.094,0.06,"['RSI=45.7 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=14.6%(買いシグナル)']"
005930.KS,190450.0,HOLD,-15,52.3,-1020.715,194117.5,171981.0,42.1,-1.78,-1.32,80.03,0.43,6.6277785,1.622,0.238,"['RSI=52.3 中立', 'MACD デッドクロス(売りシグナル)']"
1810.HK,32.3,HOLD,0,39.4,0.085,33.93,35.31,20.1,-8.65,-9.63,-18.84,0.21,18.498497,1.187,0.223,"['RSI=39.4 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)']"
000660.KS,951000.0,HOLD,-15,51.5,-2002.833,966076.12,874410.01,44.1,-1.96,0.18,74.18,0.39,4.3575835,0.852,0.661,"['RSI=51.5 中立', 'MACD デッドクロス(売りシグナル)']"
3690.HK,77.4,HOLD,0,39.1,0.835,78.46,88.11,38.0,-3.25,-4.91,-24.71,0.14,43.441704,,0.02,"['RSI=39.1 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)']"
005935.KS,135200.0,HOLD,-15,52.6,-396.141,136110.0,122534.0,47.3,-4.11,-0.66,63.35,0.37,5.9513803,1.622,0.238,"['RSI=52.6 中立', 'MACD デッドクロス(売りシグナル)']"
005380.KS,492000.0,HOLD,-15,45.9,-8204.467,539796.2,495670.42,21.9,-5.75,-5.51,71.29,0.37,9.560512,,,"['RSI=45.9 中立', 'MACD デッドクロス(売りシグナル)']"
0388.HK,383.0,HOLD,-20,33.3,-1.51,403.53,411.86,-30.1,-5.29,-5.93,-4.4,0.38,25.280895,0.151,0.138,"['RSI=33.3 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-30.1%(買いシグナル)']"
1398.HK,6.37,HOLD,15,47.0,0.012,6.41,6.39,39.1,-2.6,-1.24,3.92,0.27,5.5114484,0.08,0.058,"['RSI=47.0 中立', 'MACD ゴールデンクロス(買いシグナル)']"
2318.HK,58.85,HOLD,-10,28.0,-0.352,64.41,67.97,2.5,-6.74,-15.69,-9.81,0.29,6.300457,0.46,0.355,"['RSI=28.0 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=2.5%(買いシグナル)', '1ヶ月モメンタム -15.7%(強い下落)']"
1211.HK,105.1,HOLD,20,62.2,0.818,98.84,97.66,92.3,0.57,5.79,12.11,0.29,18.680706,-0.36,-0.031,"['RSI=62.2 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=92.3%(売りシグナル)']"
402340.KS,563000.0,HOLD,-15,50.1,-1852.741,582600.0,527830.0,39.0,-4.09,-2.93,93.8,0.62,3.5458605,,1.081,"['RSI=50.1 中立', 'MACD デッドクロス(売りシグナル)']"
3988.HK,4.58,HOLD,0,48.4,0.011,4.58,4.58,49.2,-1.51,-2.35,4.09,0.23,5.501378,-0.053,0.028,"['RSI=48.4 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)']"
