ticker,price,judgment,score,rsi,macd_diff,ma20,ma50,bb_pct,momentum_1w,momentum_1m,momentum_3m,vol_ratio,pe_ratio,eps_growth,revenue_growth,signals
0700.HK,498.6,HOLD,-20,34.8,-0.632,525.91,561.88,15.0,-9.35,-4.12,-18.86,0.6,12.794391,0.149,0.127,"['RSI=34.8 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=15.0%(買いシグナル)']"
005930.KS,187900.0,HOLD,-15,51.0,-1183.45,193990.0,171930.0,36.9,-3.09,-2.64,77.62,0.68,6.5407543,1.622,0.238,"['RSI=51.0 中立', 'MACD デッドクロス(売りシグナル)']"
9988.HK,119.3,HOLD,-10,28.6,-0.379,134.05,149.94,-1.4,-11.37,-19.39,-18.51,0.71,14.726574,-0.709,0.017,"['RSI=28.6 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-1.4%(買いシグナル)', '1ヶ月モメンタム -19.4%(強い下落)']"
1299.HK,79.9,HOLD,-20,42.7,-0.214,84.12,84.78,-7.8,-3.73,-5.83,-3.33,0.6,11.976929,0.094,0.06,"['RSI=42.7 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-7.8%(買いシグナル)']"
0939.HK,7.82,HOLD,-15,43.9,-0.001,7.96,7.91,20.1,-3.58,-2.98,3.71,0.65,5.27207,0.0,0.03,"['RSI=43.9 中立', 'MACD デッドクロス(売りシグナル)']"
1810.HK,31.92,HOLD,0,38.1,0.061,33.91,35.3,14.1,-9.73,-10.69,-19.8,0.7,18.280869,1.187,0.223,"['RSI=38.1 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=14.1%(買いシグナル)', '1ヶ月モメンタム -10.7%(強い下落)']"
000660.KS,938000.0,HOLD,-15,50.4,-2832.463,965426.12,874150.01,39.3,-3.3,-1.18,71.8,0.59,4.298016,0.852,0.661,"['RSI=50.4 中立', 'MACD デッドクロス(売りシグナル)']"
005935.KS,132300.0,HOLD,-15,50.5,-581.212,135965.0,122476.0,39.1,-6.17,-2.79,59.85,0.6,5.8237247,1.622,0.238,"['RSI=50.5 中立', 'MACD デッドクロス(売りシグナル)']"
3690.HK,77.0,HOLD,0,38.4,0.809,78.44,88.1,33.8,-3.75,-5.41,-25.1,0.52,43.217197,,0.02,"['RSI=38.4 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)']"
0388.HK,380.4,HOLD,-20,32.0,-1.676,403.4,411.8,-34.1,-5.93,-6.56,-5.05,1.09,25.109274,0.151,0.138,"['RSI=32.0 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-34.1%(買いシグナル)']"
005380.KS,488000.0,HOLD,-5,45.3,-8459.738,539596.2,495590.42,19.8,-6.51,-6.28,69.89,0.6,9.482784,,,"['RSI=45.3 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=19.8%(買いシグナル)']"
1398.HK,6.36,HOLD,15,46.5,0.012,6.41,6.39,36.8,-2.75,-1.4,3.75,0.65,5.502796,0.08,0.058,"['RSI=46.5 中立', 'MACD ゴールデンクロス(買いシグナル)']"
3988.HK,4.59,BUY,30,49.3,0.011,4.58,4.58,52.2,-1.29,-2.13,4.32,0.49,5.51339,-0.053,0.028,"['RSI=49.3 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)']"
1211.HK,104.5,HOLD,20,61.3,0.78,98.81,97.65,89.0,0.0,5.18,11.47,1.28,18.59175,-0.36,-0.031,"['RSI=61.3 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=89.0%(売りシグナル)']"
2318.HK,58.05,HOLD,-10,26.6,-0.403,64.37,67.95,-2.6,-8.0,-16.83,-11.03,1.03,6.214809,0.46,0.355,"['RSI=26.6 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-2.6%(買いシグナル)', '1ヶ月モメンタム -16.8%(強い下落)']"
402340.KS,559000.0,HOLD,-15,49.6,-2108.012,582400.0,527750.0,36.9,-4.77,-3.62,92.43,0.95,3.520668,,1.081,"['RSI=49.6 中立', 'MACD デッドクロス(売りシグナル)']"
9961.HK,393.2,HOLD,10,37.2,2.612,406.62,453.33,11.9,-4.38,-3.34,-31.62,0.48,10.470268,0.978,0.208,"['RSI=37.2 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=11.9%(買いシグナル)']"
9999.HK,175.6,HOLD,10,37.4,0.474,182.08,194.62,10.4,-6.0,-1.99,-17.92,0.23,11.177335,-0.294,0.03,"['RSI=37.4 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=10.4%(買いシグナル)']"
105560.KS,145500.0,HOLD,-25,44.9,-756.879,153034.25,144891.11,26.2,-3.45,-12.92,17.34,0.53,7.7101707,0.089,0.318,"['RSI=44.9 中立', 'MACD デッドクロス(売りシグナル)', '1ヶ月モメンタム -12.9%(強い下落)']"
9888.HK,109.8,SELL,-30,31.1,-0.109,120.08,135.16,-7.0,-7.89,-15.34,-8.73,0.48,11.805081,-0.81,-0.041,"['RSI=31.1 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-7.0%(買いシグナル)', '1ヶ月モメンタム -15.3%(強い下落)']"
9618.HK,104.2,HOLD,0,42.3,0.357,106.32,109.48,38.0,-7.05,-1.98,-7.21,0.64,6.682434,,0.015,"['RSI=42.3 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)']"
034020.KS,102200.0,BUY,30,52.1,218.692,101390.0,95782.0,53.1,-2.11,0.2,32.04,0.74,94.49196,,0.143,"['RSI=52.1 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)']"
0857.HK,10.81,BUY,40,66.0,0.0,10.31,9.42,78.4,2.17,13.08,33.79,0.59,10.184633,-0.042,0.023,"['RSI=66.0 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', '1ヶ月モメンタム +13.1%(強い上昇)']"
086790.KS,106000.0,HOLD,-15,41.5,-966.132,114433.37,109128.96,18.9,-3.55,-16.99,15.98,0.49,6.3195662,,0.829,"['RSI=41.5 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=18.9%(買いシグナル)', '1ヶ月モメンタム -17.0%(強い下落)']"
012450.KS,1261000.0,HOLD,-15,44.2,-19836.027,1358250.0,1281580.0,25.7,-9.67,2.02,43.8,0.41,21.721153,-0.601,0.745,"['RSI=44.2 中立', 'MACD デッドクロス(売りシグナル)']"
000270.KS,162500.0,HOLD,-15,47.8,-1237.401,172015.0,160922.0,33.5,-2.87,-5.91,34.3,0.5,6.8219357,-0.142,0.035,"['RSI=47.8 中立', 'MACD デッドクロス(売りシグナル)']"
2899.HK,32.38,HOLD,-10,27.2,-0.924,39.99,40.8,-0.3,-12.34,-26.44,-8.48,1.29,9.095781,0.814,0.295,"['RSI=27.2 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-0.3%(買いシグナル)', '1ヶ月モメンタム -26.4%(強い下落)']"
2628.HK,26.06,HOLD,-10,28.9,-0.17,29.35,31.79,-1.3,-9.45,-19.77,-8.5,0.99,5.929935,0.914,0.497,"['RSI=28.9 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-1.3%(買いシグナル)', '1ヶ月モメンタム -19.8%(強い下落)']"
035420.KS,210000.0,SELL,-30,34.8,-429.653,229178.16,244862.08,19.0,-6.25,-16.94,-9.89,0.52,13.435226,-0.437,0.107,"['RSI=34.8 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=19.0%(買いシグナル)', '1ヶ月モメンタム -16.9%(強い下落)']"
055550.KS,90200.0,HOLD,-25,46.0,-275.009,94075.0,89396.75,27.1,-1.1,-11.39,17.7,0.7,7.2260766,0.35,0.216,"['RSI=46.0 中立', 'MACD デッドクロス(売りシグナル)', '1ヶ月モメンタム -11.4%(強い下落)']"
068270.KS,189300.0,SELL,-30,34.7,-2457.747,215110.0,216774.0,13.4,-8.11,-22.1,3.03,0.87,27.300272,1.287,0.251,"['RSI=34.7 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=13.4%(買いシグナル)', '1ヶ月モメンタム -22.1%(強い下落)']"
