ticker,price,judgment,score,rsi,macd_diff,ma20,ma50,bb_pct,momentum_1w,momentum_1m,momentum_3m,vol_ratio,pe_ratio,eps_growth,revenue_growth,signals,order_book
005930.KS,361500.0,HOLD,0,60.2,-1302.999,332825.0,283610.0,82.2,2.12,20.7,105.05,0.48,6.106041,4.921,0.692,"['RSI=60.2 中立', 'MACD デッドクロス(売りシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=82.2%(売りシグナル)', '1ヶ月モメンタム +20.7%(強い上昇)']",{}
1299.HK,71.75,SELL,-40,34.3,-0.033,75.83,80.53,24.2,-2.65,-12.66,-16.1,0.1,10.607906,0.094,0.06,"['RSI=34.3 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -12.7%(強い下落)']",{}
0939.HK,8.45,HOLD,-20,39.9,-0.033,8.66,8.74,14.2,-1.97,-0.35,5.49,0.08,5.3144684,0.0,0.05,"['RSI=39.9 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=14.2%(買いシグナル)']",{}
0700.HK,419.2,HOLD,-20,38.3,-2.907,446.14,460.59,11.3,-4.77,-1.36,-14.43,0.28,10.948875,0.229,0.091,"['RSI=38.3 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=11.3%(買いシグナル)']",{}
9988.HK,95.55,HOLD,-10,23.3,-1.5,112.98,124.19,5.8,-8.91,-21.46,-22.23,0.17,10.281678,1.041,0.029,"['RSI=23.3 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=5.8%(買いシグナル)', '1ヶ月モメンタム -21.5%(強い下落)']",{}
1810.HK,22.16,HOLD,-10,19.8,-0.362,26.3,29.05,1.6,-9.85,-22.41,-31.69,0.14,12.596825,-0.581,-0.109,"['RSI=19.8 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=1.6%(買いシグナル)', '1ヶ月モメンタム -22.4%(強い下落)']",{}
005935.KS,233000.0,HOLD,0,61.5,-494.727,213145.0,187044.0,85.5,4.95,22.05,92.4,0.54,4.1833878,4.921,0.692,"['RSI=61.5 中立', 'MACD デッドクロス(売りシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=85.5%(売りシグナル)', '1ヶ月モメンタム +22.1%(強い上昇)']",{}
000660.KS,2814000.0,BUY,30,66.1,20989.695,2384350.0,1876925.63,90.1,1.81,22.94,222.39,0.4,6.639704,3.966,1.981,"['RSI=66.1 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=90.1%(売りシグナル)', '1ヶ月モメンタム +22.9%(強い上昇)']",{}
3690.HK,65.25,HOLD,-10,27.8,-1.085,75.61,80.4,-5.7,-9.12,-10.98,-24.74,0.14,13.736843,,0.056,"['RSI=27.8 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-5.7%(買いシグナル)', '1ヶ月モメンタム -11.0%(強い下落)']",{}
005380.KS,507000.0,HOLD,-15,33.1,-19119.229,629500.0,602766.84,5.7,-17.29,-25.11,8.39,0.33,10.277725,-0.431,0.034,"['RSI=33.1 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=5.7%(買いシグナル)', '1ヶ月モメンタム -25.1%(強い下落)']",{}
0388.HK,368.6,HOLD,-20,30.9,-1.342,387.05,403.54,12.8,-1.65,-6.97,-5.63,0.1,23.584408,0.27,0.19,"['RSI=30.9 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=12.8%(買いシグナル)']",{}
1398.HK,6.73,SELL,-30,42.7,-0.027,6.88,6.9,29.1,-1.75,2.12,5.51,0.08,5.385396,0.043,0.034,"['RSI=42.7 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)']",{}
1211.HK,74.9,HOLD,-10,23.5,-0.883,85.58,94.64,4.4,-7.36,-16.66,-26.72,0.12,12.174049,-0.569,-0.118,"['RSI=23.5 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=4.4%(買いシグナル)', '1ヶ月モメンタム -16.7%(強い下落)']",{}
2318.HK,51.45,HOLD,-10,24.3,-0.446,56.28,58.7,-14.1,-4.46,-10.16,-8.46,0.17,4.698578,-0.132,-0.033,"['RSI=24.3 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-14.1%(買いシグナル)', '1ヶ月モメンタム -10.2%(強い下落)']",{}
3988.HK,5.18,HOLD,-5,43.0,-0.028,5.32,5.23,15.9,-1.71,0.97,7.02,0.2,5.7105956,0.0,0.059,"['RSI=43.0 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=15.9%(買いシグナル)']",{}
9888.HK,103.6,SELL,-30,30.9,-1.461,117.97,124.04,12.1,-7.25,-17.52,-5.3,0.07,11.815933,-0.593,-0.012,"['RSI=30.9 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=12.1%(買いシグナル)', '1ヶ月モメンタム -17.5%(強い下落)']",{}
402340.KS,1857000.0,HOLD,10,70.6,37233.125,1464750.0,1148073.69,87.7,4.33,50.12,264.59,0.45,5.4796886,4.201,3.188,"['RSI=70.6 買われすぎ(売りシグナル)', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=87.7%(売りシグナル)', '1ヶ月モメンタム +50.1%(強い上昇)']",{}
105560.KS,154200.0,HOLD,-15,46.7,-1039.688,158075.0,157398.1,36.1,-2.59,3.01,6.45,0.22,8.14583,0.168,0.152,"['RSI=46.7 中立', 'MACD デッドクロス(売りシグナル)']",{}
9961.HK,326.6,HOLD,-10,27.0,-2.515,366.01,388.9,-26.0,-9.03,-10.32,-16.26,0.6,8.705146,0.981,0.208,"['RSI=27.0 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-26.0%(買いシグナル)', '1ヶ月モメンタム -10.3%(強い下落)']",{}
9999.HK,181.9,HOLD,-5,40.3,-1.799,192.38,185.12,-3.4,-4.51,-5.53,5.96,0.08,11.0893345,0.031,0.061,"['RSI=40.3 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=-3.4%(買いシグナル)']",{}
