ticker,price,judgment,score,rsi,macd_diff,ma20,ma50,bb_pct,momentum_1w,momentum_1m,momentum_3m,vol_ratio,pe_ratio,eps_growth,revenue_growth,signals,order_book
0939.HK,8.57,HOLD,-15,45.3,-0.038,8.73,8.6,20.2,1.06,-4.03,9.17,0.65,5.370367,0.0,0.05,"['RSI=45.3 中立', 'MACD デッドクロス(売りシグナル)']",{}
9988.HK,126.6,HOLD,-15,47.0,-0.444,130.45,128.59,32.5,3.94,-5.66,0.24,0.96,12.998579,1.041,0.029,"['RSI=47.0 中立', 'MACD デッドクロス(売りシグナル)']",{}
1299.HK,82.25,HOLD,-15,43.9,-0.31,84.2,83.76,20.4,0.12,-4.32,-1.67,1.26,12.1640005,0.094,0.06,"['RSI=43.9 中立', 'MACD デッドクロス(売りシグナル)']",{}
005930.KS,365000.0,HOLD,10,78.4,5908.472,297125.0,240922.78,108.5,21.87,37.22,110.81,0.31,6.528423,4.921,0.692,"['RSI=78.4 買われすぎ(売りシグナル)', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=108.5%(売りシグナル)', '1ヶ月モメンタム +37.2%(強い上昇)']",{}
0700.HK,466.4,HOLD,15,52.8,3.95,451.47,474.93,75.6,9.74,1.91,-6.01,1.32,12.138754,0.229,0.091,"['RSI=52.8 中立', 'MACD ゴールデンクロス(買いシグナル)']",{}
1810.HK,28.58,HOLD,-20,39.3,-0.102,30.19,31.1,16.6,0.07,-7.27,-11.24,0.93,16.027895,-0.581,-0.109,"['RSI=39.3 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=16.6%(買いシグナル)']",{}
3690.HK,80.4,SELL,-40,48.2,-0.037,81.71,83.13,41.1,9.69,-2.55,7.92,1.56,16.597618,,0.056,"['RSI=48.2 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', '出来高急増 1.6x(注目)']",{}
000660.KS,2316000.0,HOLD,10,77.6,22241.955,1979166.54,1434819.07,84.0,1.18,44.68,177.08,0.17,6.058127,3.966,1.981,"['RSI=77.6 買われすぎ(売りシグナル)', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=84.0%(売りシグナル)', '1ヶ月モメンタム +44.7%(強い上昇)']",{}
005935.KS,229500.0,HOLD,10,75.8,3475.427,194155.0,162105.64,105.2,20.22,21.24,89.45,0.32,4.343156,4.921,0.692,"['RSI=75.8 買われすぎ(売りシグナル)', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=105.2%(売りシグナル)', '1ヶ月モメンタム +21.2%(強い上昇)']",{}
005380.KS,716000.0,BUY,40,62.3,3714.314,662919.72,566955.93,74.4,5.76,30.66,41.74,0.13,14.464146,-0.263,0.034,"['RSI=62.3 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', '1ヶ月モメンタム +30.7%(強い上昇)']",{}
