ticker,price,judgment,score,rsi,macd_diff,ma20,ma50,bb_pct,momentum_1w,momentum_1m,momentum_3m,vol_ratio,pe_ratio,eps_growth,revenue_growth,signals,order_book
0960.HK,5.98,HOLD,-10,26.4,-0.168,7.35,8.02,12.8,-4.47,-25.25,-20.79,0.81,9.087501,,-0.522,"['RSI=26.4 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=12.8%(買いシグナル)', '1ヶ月モメンタム -25.2%(強い下落)']",{}
601012.SS,13.04,HOLD,0,42.2,0.116,13.08,14.8,47.6,3.41,-2.83,-24.88,0.54,28.792229,,-0.18,"['RSI=42.2 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)']",{}
6969.HK,7.02,HOLD,-10,22.7,-0.088,8.16,9.07,12.1,-4.88,-25.16,-19.23,1.26,15.108073,0.053,0.164,"['RSI=22.7 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=12.1%(買いシグナル)', '1ヶ月モメンタム -25.2%(強い下落)']",{}
601985.SS,8.84,HOLD,-5,42.3,-0.029,9.08,9.03,5.9,-1.56,-4.54,-1.89,0.4,17.68,-0.342,-0.066,"['RSI=42.3 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=5.9%(買いシグナル)']",{}
600111.SS,47.45,SELL,-30,43.9,-0.248,49.25,50.33,25.1,-3.56,-4.49,0.0,0.32,36.17002,1.132,0.277,"['RSI=43.9 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)']",{}
601818.SS,2.9,HOLD,0,27.6,-0.027,3.09,3.11,1.0,-3.65,-7.05,-9.09,0.54,4.823365,-0.105,-0.071,"['RSI=27.6 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=1.0%(買いシグナル)']",{}
3998.HK,4.28,HOLD,15,56.3,0.013,4.13,4.22,64.8,14.75,-6.14,7.0,1.36,9.568737,0.152,0.077,"['RSI=56.3 中立', 'MACD ゴールデンクロス(買いシグナル)']",{}
600886.SS,13.41,SELL,-30,48.2,-0.017,13.51,13.57,42.8,3.23,-6.22,-5.23,0.27,11.973214,-0.027,-0.046,"['RSI=48.2 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)']",{}
601100.SS,107.77,HOLD,-5,41.3,-1.36,114.54,111.03,14.0,-3.43,-4.32,5.14,0.46,35.0369,0.065,0.325,"['RSI=41.3 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=14.0%(買いシグナル)']",{}
180640.KS,119000.0,HOLD,0,52.1,-182.73,117915.0,115558.0,55.0,-1.57,-1.24,9.27,0.45,,0.158,0.111,"['RSI=52.1 中立', 'MACD デッドクロス(売りシグナル)', 'MA 上昇トレンド(買いシグナル)']",{}
9995.HK,74.3,HOLD,25,48.3,1.67,70.89,85.91,75.7,7.84,-3.13,-22.44,1.77,42.512325,,0.248,"['RSI=48.3 中立', 'MACD ゴールデンクロス(買いシグナル)', '出来高急増 1.8x(注目)']",{}
326030.KS,86700.0,HOLD,0,46.7,385.25,87545.0,93942.0,42.2,-2.14,-4.2,-7.86,0.23,17.665976,3.506,0.578,"['RSI=46.7 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)']",{}
600919.SS,10.9,HOLD,-5,38.7,-0.084,11.37,11.28,10.8,-2.15,-3.71,0.18,0.5,4.910153,0.094,0.122,"['RSI=38.7 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=10.8%(買いシグナル)']",{}
024110.KS,20050.0,SELL,-30,42.0,-139.008,20875.5,21207.2,28.3,0.5,-2.2,-6.09,0.28,5.4857016,-0.087,-0.003,"['RSI=42.0 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)']",{}
003490.KS,27700.0,HOLD,10,52.8,-24.353,27070.0,26225.0,59.0,-4.81,10.58,20.43,0.54,9.164873,-0.572,0.026,"['RSI=52.8 中立', 'MACD デッドクロス(売りシグナル)', 'MA 上昇トレンド(買いシグナル)', '1ヶ月モメンタム +10.6%(強い上昇)']",{}
6186.HK,2.8,SELL,-30,33.3,-0.018,3.02,3.12,4.4,-2.1,-10.94,-16.06,0.66,8.10252,-0.445,-0.159,"['RSI=33.3 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=4.4%(買いシグナル)', '1ヶ月モメンタム -10.9%(強い下落)']",{}
1548.HK,12.23,HOLD,15,49.4,0.098,12.01,13.15,58.4,0.91,0.74,11.69,0.48,25.157503,,0.425,"['RSI=49.4 中立', 'MACD ゴールデンクロス(買いシグナル)']",{}
6181.HK,346.4,HOLD,-10,23.3,-8.326,445.25,510.72,2.7,-13.44,-34.27,-43.31,1.18,5.517519,1.838,1.999,"['RSI=23.3 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=2.7%(買いシグナル)', '1ヶ月モメンタム -34.3%(強い下落)']",{}
601988.SS,5.7,HOLD,-5,40.9,-0.049,5.98,5.88,10.0,-1.55,-4.2,-4.04,0.28,7.343657,0.0,0.059,"['RSI=40.9 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=10.0%(買いシグナル)']",{}
005940.KS,29550.0,SELL,-30,44.4,-110.452,30602.5,32537.0,32.1,1.55,-6.49,-1.34,0.23,8.234868,1.113,1.848,"['RSI=44.4 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)']",{}
600487.SS,104.18,HOLD,-5,54.0,-1.596,106.42,85.1,43.5,-15.09,14.23,95.62,0.45,14.985616,0.986,0.341,"['RSI=54.0 中立', 'MACD デッドクロス(売りシグナル)', '1ヶ月モメンタム +14.2%(強い上昇)']",{}
600795.SS,4.67,SELL,-30,38.0,-0.028,4.89,4.93,17.8,0.21,-10.71,-2.91,0.26,8.98077,-0.235,-0.016,"['RSI=38.0 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=17.8%(買いシグナル)', '1ヶ月モメンタム -10.7%(強い下落)']",{}
443060.KS,223000.0,SELL,-30,48.1,-1107.89,227450.0,234329.02,42.7,-1.55,1.36,25.42,0.26,23.064154,0.55,0.183,"['RSI=48.1 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)']",{}
600183.SS,167.21,HOLD,10,58.5,-2.611,163.36,122.43,55.6,-10.68,19.18,225.67,0.44,51.503433,1.0,0.451,"['RSI=58.5 中立', 'MACD デッドクロス(売りシグナル)', 'MA 上昇トレンド(買いシグナル)', '1ヶ月モメンタム +19.2%(強い上昇)']",{}
1882.HK,18.75,SELL,-40,35.1,-0.15,20.02,20.78,14.9,-1.16,-11.39,-6.81,1.61,6.6099453,0.019,0.075,"['RSI=35.1 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=14.9%(買いシグナル)', '1ヶ月モメンタム -11.4%(強い下落)', '出来高急増 1.6x(注目)']",{}
688072.SS,832.0,HOLD,10,74.7,10.884,697.83,586.18,86.2,1.46,39.67,125.91,0.0,77.19428,,0.57,"['RSI=74.7 買われすぎ(売りシグナル)', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=86.2%(売りシグナル)', '1ヶ月モメンタム +39.7%(強い上昇)']",{}
600016.SS,3.25,HOLD,0,26.1,-0.03,3.48,3.57,4.8,-3.27,-8.19,-13.56,0.48,4.918355,-0.103,-0.078,"['RSI=26.1 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=4.8%(買いシグナル)']",{}
601888.SS,55.16,SELL,-30,43.4,-0.032,56.34,59.41,32.1,-0.9,-3.31,-21.2,0.47,19.259346,0.212,0.01,"['RSI=43.4 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)']",{}
600346.SS,18.2,HOLD,15,49.4,0.218,17.61,19.49,68.0,-0.05,3.94,-16.92,0.53,12.05298,0.931,-0.137,"['RSI=49.4 中立', 'MACD ゴールデンクロス(買いシグナル)']",{}
600050.SS,4.07,HOLD,-20,35.3,-0.017,4.22,4.39,17.0,-0.19,-5.67,-6.95,0.53,14.370455,-0.181,-0.005,"['RSI=35.3 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=17.0%(買いシグナル)']",{}
600585.SS,17.21,SELL,-30,30.1,-0.025,18.19,19.74,19.7,-3.04,-12.19,-25.75,0.41,9.837264,-0.176,-0.105,"['RSI=30.1 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=19.7%(買いシグナル)', '1ヶ月モメンタム -12.2%(強い下落)']",{}
600418.SS,25.93,HOLD,-10,16.7,-0.119,30.69,39.41,6.5,-9.97,-25.49,-42.91,0.63,136.4737,,0.169,"['RSI=16.7 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=6.5%(買いシグナル)', '1ヶ月モメンタム -25.5%(強い下落)']",{}
600436.SS,111.75,HOLD,-10,38.8,0.296,115.55,127.22,28.4,0.88,-10.09,-26.49,0.61,22.946613,-0.259,-0.127,"['RSI=38.8 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -10.1%(強い下落)']",{}
1776.HK,16.99,HOLD,-15,51.4,-0.005,16.78,16.91,57.7,-0.47,2.53,17.99,0.87,7.0798464,0.758,0.701,"['RSI=51.4 中立', 'MACD デッドクロス(売りシグナル)']",{}
3311.HK,6.97,HOLD,-10,22.6,-0.12,7.99,8.46,12.2,-3.99,-19.41,-13.51,0.42,3.3911333,-0.109,-0.102,"['RSI=22.6 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=12.2%(買いシグナル)', '1ヶ月モメンタム -19.4%(強い下落)']",{}
601668.SS,4.39,HOLD,0,27.5,-0.028,4.62,4.77,11.2,-1.13,-7.97,-12.72,0.41,4.2165318,-0.083,-0.078,"['RSI=27.5 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=11.2%(買いシグナル)']",{}
601939.SS,9.62,HOLD,-5,37.2,-0.084,10.1,9.96,9.9,-1.94,-4.37,0.42,0.32,6.9971776,0.0,0.05,"['RSI=37.2 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=9.9%(買いシグナル)']",{}
688396.SS,96.6,HOLD,10,77.5,2.345,75.78,66.13,97.3,14.02,35.19,117.55,0.58,85.486725,2.952,0.213,"['RSI=77.5 買われすぎ(売りシグナル)', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=97.3%(売りシグナル)', '1ヶ月モメンタム +35.2%(強い上昇)']",{}
605499.SS,128.25,HOLD,5,48.6,0.838,126.56,139.81,54.8,13.77,-10.91,-18.31,0.57,14.667067,0.25,0.215,"['RSI=48.6 中立', 'MACD ゴールデンクロス(買いシグナル)', '1ヶ月モメンタム -10.9%(強い下落)']",{}
601628.SS,37.52,HOLD,15,59.5,0.233,35.01,35.44,91.9,1.71,14.11,3.19,0.72,8.219437,-0.324,-0.152,"['RSI=59.5 中立', 'MACD ゴールデンクロス(買いシグナル)', 'BB上限付近 bb_pct=91.9%(売りシグナル)', '1ヶ月モメンタム +14.1%(強い上昇)']",{}
3618.HK,5.78,HOLD,-20,32.3,-0.061,6.31,6.54,-0.1,-4.93,-9.58,-13.04,1.17,3.9274805,0.061,0.07,"['RSI=32.3 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-0.1%(買いシグナル)']",{}
603799.SS,48.16,HOLD,0,39.8,0.001,50.19,56.76,29.6,-4.08,-9.51,-17.64,0.41,7.73092,0.886,0.446,"['RSI=39.8 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)']",{}
688521.SS,359.56,HOLD,10,72.6,12.883,274.25,264.91,91.6,6.36,49.54,64.18,0.44,1956.5762,,1.145,"['RSI=72.6 買われすぎ(売りシグナル)', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=91.6%(売りシグナル)', '1ヶ月モメンタム +49.5%(強い上昇)']",{}
600015.SS,6.48,HOLD,-20,39.2,-0.04,6.75,6.8,10.0,-2.56,-5.4,-13.48,0.33,3.7516067,-0.031,0.046,"['RSI=39.2 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=10.0%(買いシグナル)']",{}
0772.HK,18.92,HOLD,-10,29.8,-0.188,21.6,23.84,17.6,-3.72,-26.21,-25.57,0.75,10.329871,,0.062,"['RSI=29.8 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=17.6%(買いシグナル)', '1ヶ月モメンタム -26.2%(強い下落)']",{}
600196.SS,22.76,HOLD,5,51.6,0.184,22.07,23.52,94.8,2.61,2.61,-15.89,0.88,16.257143,0.138,0.069,"['RSI=51.6 中立', 'MACD ゴールデンクロス(買いシグナル)', 'BB上限付近 bb_pct=94.8%(売りシグナル)']",{}
005385.KS,215500.0,SELL,-40,37.5,-2348.919,235550.0,251512.97,20.2,-1.6,-19.59,-7.86,0.38,,-0.431,0.034,"['RSI=37.5 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -19.6%(強い下落)']",{}
