ticker,price,judgment,score,rsi,macd_diff,ma20,ma50,bb_pct,momentum_1w,momentum_1m,momentum_3m,vol_ratio,pe_ratio,eps_growth,revenue_growth,signals
0939.HK,8.08,BUY,30,55.6,0.017,7.98,7.9,70.4,0.37,-1.58,7.88,1.42,5.4473557,0.0,0.03,"['RSI=55.6 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)']"
005930.KS,189100.0,HOLD,-15,51.6,-1106.869,194050.0,171954.0,39.3,-2.48,-2.02,78.76,0.23,6.5825257,1.622,0.238,"['RSI=51.6 中立', 'MACD デッドクロス(売りシグナル)']"
1299.HK,86.05,HOLD,15,53.5,0.062,84.4,84.9,76.2,3.18,0.47,4.3,1.27,12.92918,0.094,0.06,"['RSI=53.5 中立', 'MACD ゴールデンクロス(買いシグナル)']"
9988.HK,123.7,HOLD,-10,31.5,0.202,135.7,150.47,9.3,-7.69,-18.73,-14.87,2.15,15.269716,-0.709,0.017,"['RSI=31.5 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=9.3%(買いシグナル)', '1ヶ月モメンタム -18.7%(強い下落)', '出来高急増 2.1x(注目)']"
0700.HK,508.0,HOLD,0,37.3,1.403,527.88,564.4,23.3,-9.04,-5.58,-17.26,0.82,13.035601,0.149,0.127,"['RSI=37.3 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)']"
1810.HK,33.2,HOLD,-10,42.8,0.25,34.14,35.42,33.5,-5.68,-9.19,-18.11,2.12,19.013935,1.187,0.223,"['RSI=42.8 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)', '出来高急増 2.1x(注目)']"
005935.KS,133900.0,HOLD,-15,51.7,-479.104,136045.0,122508.0,43.6,-5.04,-1.62,61.78,0.23,5.894155,1.622,0.238,"['RSI=51.7 中立', 'MACD デッドクロス(売りシグナル)']"
000660.KS,940000.0,HOLD,-15,50.6,-2704.827,965526.12,874190.01,40.1,-3.09,-0.97,72.16,0.22,4.3071804,0.852,0.661,"['RSI=50.6 中立', 'MACD デッドクロス(売りシグナル)']"
3690.HK,79.15,HOLD,15,42.8,0.998,78.84,88.65,53.0,1.09,-6.88,-22.93,1.28,44.423912,,0.02,"['RSI=42.8 中立', 'MACD ゴールデンクロス(買いシグナル)']"
005380.KS,494750.0,HOLD,-15,46.3,-8028.968,539933.7,495725.42,23.3,-5.22,-4.99,72.24,0.18,9.618808,,,"['RSI=46.3 中立', 'MACD デッドクロス(売りシグナル)']"
0388.HK,396.0,HOLD,-20,41.1,-0.503,404.95,412.67,1.1,-2.51,-3.71,-1.16,0.85,26.138992,0.151,0.138,"['RSI=41.1 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=1.1%(買いシグナル)']"
2318.HK,61.75,SELL,-40,34.8,-0.219,65.11,68.21,23.5,-0.8,-15.18,-5.65,0.78,6.61093,0.46,0.355,"['RSI=34.8 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -15.2%(強い下落)']"
1398.HK,6.6,HOLD,20,61.2,0.026,6.42,6.39,91.3,1.85,0.61,7.84,1.35,5.7104487,0.08,0.058,"['RSI=61.2 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=91.3%(売りシグナル)']"
3988.HK,4.7,BUY,30,61.6,0.017,4.59,4.58,81.0,2.62,-1.26,6.33,1.53,5.645519,-0.053,0.028,"['RSI=61.6 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=81.0%(売りシグナル)', '出来高急増 1.5x(注目)']"
1211.HK,103.8,HOLD,20,60.1,0.794,98.59,97.46,88.0,-0.48,3.7,10.78,1.16,18.467213,-0.36,-0.031,"['RSI=60.1 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=88.0%(売りシグナル)']"
402340.KS,548000.0,HOLD,-15,48.2,-2810.006,581850.0,527530.0,31.2,-6.64,-5.52,88.64,0.31,3.4513884,,1.081,"['RSI=48.2 中立', 'MACD デッドクロス(売りシグナル)']"
9961.HK,405.6,HOLD,0,41.6,3.67,408.11,457.47,43.0,-1.41,-4.11,-27.57,0.64,10.800459,0.978,0.208,"['RSI=41.6 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)']"
9888.HK,115.6,HOLD,-10,36.3,0.37,121.25,135.86,20.1,-5.94,-13.21,-2.69,0.86,12.428664,-0.81,-0.041,"['RSI=36.3 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -13.2%(強い下落)']"
105560.KS,147700.0,HOLD,-25,47.0,-616.48,153144.25,144935.11,32.6,-1.99,-11.6,19.11,0.14,7.8267503,0.089,0.318,"['RSI=47.0 中立', 'MACD デッドクロス(売りシグナル)', '1ヶ月モメンタム -11.6%(強い下落)']"
