ticker,price,judgment,score,rsi,macd_diff,ma20,ma50,bb_pct,momentum_1w,momentum_1m,momentum_3m,vol_ratio,pe_ratio,eps_growth,revenue_growth,signals,order_book
0700.HK,448.2,HOLD,0,46.0,1.321,449.93,467.35,46.9,-1.97,-1.54,-11.61,0.14,11.6794815,0.229,0.091,"['RSI=46.0 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)']",{}
005930.KS,336500.0,HOLD,10,59.5,-1434.968,315700.0,265696.0,71.4,12.54,22.14,69.11,0.28,5.857851,4.921,0.692,"['RSI=59.5 中立', 'MACD デッドクロス(売りシグナル)', 'MA 上昇トレンド(買いシグナル)', '1ヶ月モメンタム +22.1%(強い上昇)']",{}
0939.HK,8.82,HOLD,15,54.0,0.023,8.7,8.73,72.4,1.5,1.03,9.02,0.18,5.539868,0.0,0.05,"['RSI=54.0 中立', 'MACD ゴールデンクロス(買いシグナル)']",{}
1299.HK,75.3,SELL,-30,40.3,-0.15,78.38,81.85,33.5,2.1,-9.07,-7.48,0.21,11.139565,0.094,0.06,"['RSI=40.3 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)']",{}
9988.HK,106.7,SELL,-30,31.0,-1.536,119.69,126.47,8.8,-0.65,-19.01,-19.08,0.28,11.156624,1.041,0.029,"['RSI=31.0 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=8.8%(買いシグナル)', '1ヶ月モメンタム -19.0%(強い下落)']",{}
1810.HK,25.26,HOLD,-10,26.8,-0.204,27.89,29.86,6.7,-2.24,-16.19,-30.45,0.22,14.340108,-0.581,-0.109,"['RSI=26.8 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=6.7%(買いシグナル)', '1ヶ月モメンタム -16.2%(強い下落)']",{}
000660.KS,2413000.0,HOLD,0,65.9,-8671.051,2144252.48,1662306.45,83.2,14.85,38.3,139.66,0.28,5.8809013,3.966,1.981,"['RSI=65.9 中立', 'MACD デッドクロス(売りシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=83.2%(売りシグナル)', '1ヶ月モメンタム +38.3%(強い上昇)']",{}
3690.HK,74.6,HOLD,-20,40.2,-0.225,78.44,82.09,18.1,-4.48,-9.96,-7.56,0.11,15.655875,,0.056,"['RSI=40.2 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=18.1%(買いシグナル)']",{}
005935.KS,219250.0,HOLD,10,60.5,-40.901,202262.5,176471.0,76.4,13.31,21.27,57.97,0.25,4.1491804,4.921,0.692,"['RSI=60.5 中立', 'MACD デッドクロス(売りシグナル)', 'MA 上昇トレンド(買いシグナル)', '1ヶ月モメンタム +21.3%(強い上昇)']",{}
005380.KS,621000.0,HOLD,-15,47.4,-11446.739,657186.53,594173.92,30.4,4.02,3.19,20.56,0.27,12.54517,-0.431,0.034,"['RSI=47.4 中立', 'MACD デッドクロス(売りシグナル)']",{}
0388.HK,386.2,SELL,-30,39.8,-1.006,395.81,406.95,28.5,3.26,-6.08,-3.11,0.28,24.710522,0.27,0.19,"['RSI=39.8 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)']",{}
1398.HK,7.15,HOLD,5,62.4,0.043,6.88,6.9,86.7,2.44,3.92,11.75,0.21,5.7034907,0.043,0.034,"['RSI=62.4 中立', 'MACD ゴールデンクロス(買いシグナル)', 'BB上限付近 bb_pct=86.7%(売りシグナル)']",{}
