ticker,price,judgment,score,rsi,macd_diff,ma20,ma50,bb_pct,momentum_1w,momentum_1m,momentum_3m,vol_ratio,pe_ratio,eps_growth,revenue_growth,signals,order_book
1299.HK,74.45,SELL,-40,36.1,-0.902,79.81,82.36,23.5,2.48,-13.54,-9.18,1.41,11.011489,0.094,0.06,"['RSI=36.1 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -13.5%(強い下落)']",{}
9988.HK,110.3,SELL,-30,34.0,-1.706,123.39,127.25,3.9,-7.05,-16.54,-17.59,0.45,11.407095,1.041,0.029,"['RSI=34.0 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=3.9%(買いシグナル)', '1ヶ月モメンタム -16.5%(強い下落)']",{}
0939.HK,8.89,HOLD,5,59.0,0.017,8.68,8.7,95.9,1.48,1.25,10.43,0.39,5.579758,0.0,0.05,"['RSI=59.0 中立', 'MACD ゴールデンクロス(買いシグナル)', 'BB上限付近 bb_pct=95.9%(売りシグナル)']",{}
005930.KS,336250.0,HOLD,10,60.1,-3315.134,307937.5,256346.0,77.8,13.79,13.6,73.77,0.64,5.872581,4.921,0.692,"['RSI=60.1 中立', 'MACD デッドクロス(売りシグナル)', 'MA 上昇トレンド(買いシグナル)', '1ヶ月モメンタム +13.6%(強い上昇)']",{}
0700.HK,465.8,HOLD,15,53.0,3.529,450.56,469.2,77.0,4.35,2.06,-15.63,0.31,12.149682,0.229,0.091,"['RSI=53.0 中立', 'MACD ゴールデンクロス(買いシグナル)']",{}
1810.HK,26.38,SELL,-30,32.2,-0.231,28.64,30.24,11.4,-3.65,-14.07,-25.06,0.36,14.962768,-0.581,-0.109,"['RSI=32.2 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=11.4%(買いシグナル)', '1ヶ月モメンタム -14.1%(強い下落)']",{}
005935.KS,213000.0,HOLD,0,59.3,-1863.599,197510.0,170608.0,75.1,10.65,9.96,51.51,0.57,4.030903,4.921,0.692,"['RSI=59.3 中立', 'MACD デッドクロス(売りシグナル)', 'MA 上昇トレンド(買いシグナル)']",{}
000660.KS,2291000.0,HOLD,10,62.3,-30846.913,2078555.42,1574137.98,76.0,19.88,16.31,136.23,0.5,5.6341653,3.966,1.981,"['RSI=62.3 中立', 'MACD デッドクロス(売りシグナル)', 'MA 上昇トレンド(買いシグナル)', '1ヶ月モメンタム +16.3%(強い上昇)']",{}
3690.HK,78.1,HOLD,0,46.0,0.011,79.44,82.52,39.1,2.43,-5.56,-0.26,0.33,16.408464,,0.056,"['RSI=46.0 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)']",{}
005380.KS,630000.0,HOLD,-25,48.8,-15126.865,666305.66,584341.24,30.2,-1.41,-11.19,21.13,0.42,12.738088,-0.263,0.034,"['RSI=48.8 中立', 'MACD デッドクロス(売りシグナル)', '1ヶ月モメンタム -11.2%(強い下落)']",{}
0388.HK,381.6,HOLD,-20,34.9,-2.857,399.73,407.22,11.2,-1.34,-8.36,-6.06,0.7,24.416197,0.27,0.19,"['RSI=34.9 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=11.2%(買いシグナル)']",{}
1398.HK,7.15,HOLD,5,65.6,0.037,6.83,6.86,109.5,3.17,3.77,13.48,0.57,5.7097764,0.043,0.034,"['RSI=65.6 中立', 'MACD ゴールデンクロス(買いシグナル)', 'BB上限付近 bb_pct=109.5%(売りシグナル)']",{}
2318.HK,58.15,HOLD,-15,47.2,-0.002,58.13,59.42,50.6,2.29,-3.67,-3.36,0.6,5.3070035,-0.132,-0.033,"['RSI=47.2 中立', 'MACD デッドクロス(売りシグナル)']",{}
1211.HK,86.5,HOLD,-20,37.6,-0.249,90.57,98.69,15.8,-1.29,-9.89,-16.67,0.25,14.030716,-0.569,-0.118,"['RSI=37.6 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=15.8%(買いシグナル)']",{}
3988.HK,5.49,HOLD,20,68.2,0.016,5.27,5.18,110.8,2.43,5.17,19.87,0.46,6.0528827,0.0,0.059,"['RSI=68.2 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=110.8%(売りシグナル)']",{}
