ticker,price,judgment,score,rsi,macd_diff,ma20,ma50,bb_pct,momentum_1w,momentum_1m,momentum_3m,vol_ratio,pe_ratio,eps_growth,revenue_growth,signals
005930.KS,186300.0,HOLD,-15,50.3,-1285.559,193910.0,171898.0,33.7,-3.92,-3.47,76.11,0.93,6.4850583,1.622,0.238,"['RSI=50.3 中立', 'MACD デッドクロス(売りシグナル)']"
9988.HK,118.3,HOLD,-10,28.0,-0.443,134.0,149.92,-3.9,-12.11,-20.07,-19.19,1.07,14.603132,-0.709,0.017,"['RSI=28.0 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-3.9%(買いシグナル)', '1ヶ月モメンタム -20.1%(強い下落)']"
0700.HK,497.6,HOLD,-20,34.5,-0.695,525.86,561.86,13.9,-9.53,-4.31,-19.02,0.82,12.76873,0.149,0.127,"['RSI=34.5 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=13.9%(買いシグナル)']"
0939.HK,7.8,HOLD,-5,43.2,-0.002,7.96,7.91,16.4,-3.82,-3.23,3.45,0.97,5.2585864,0.0,0.03,"['RSI=43.2 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=16.4%(買いシグナル)']"
1299.HK,78.85,HOLD,-20,41.3,-0.281,84.06,84.76,-16.7,-5.0,-7.07,-4.6,0.82,11.819534,0.094,0.06,"['RSI=41.3 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-16.7%(買いシグナル)']"
1810.HK,31.72,HOLD,0,37.4,0.048,33.9,35.29,11.1,-10.29,-11.25,-20.3,1.02,18.166327,1.187,0.223,"['RSI=37.4 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=11.1%(買いシグナル)', '1ヶ月モメンタム -11.2%(強い下落)']"
000660.KS,933000.0,HOLD,-15,50.0,-3151.551,965176.12,874050.01,37.5,-3.81,-1.71,70.88,0.89,4.2751055,0.852,0.661,"['RSI=50.0 中立', 'MACD デッドクロス(売りシグナル)']"
005935.KS,130900.0,HOLD,-15,49.6,-670.557,135895.0,122448.0,35.3,-7.16,-3.82,58.16,0.83,5.762098,1.622,0.238,"['RSI=49.6 中立', 'MACD デッドクロス(売りシグナル)']"
3690.HK,76.05,HOLD,0,36.7,0.748,78.39,88.08,24.1,-4.94,-6.57,-26.02,0.73,42.684002,,0.02,"['RSI=36.7 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)']"
005380.KS,485000.0,HOLD,-5,44.8,-8651.191,539446.2,495530.42,18.2,-7.09,-6.86,68.85,0.79,9.424488,,,"['RSI=44.8 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=18.2%(買いシグナル)']"
