ticker,price,judgment,score,rsi,macd_diff,ma20,ma50,bb_pct,momentum_1w,momentum_1m,momentum_3m,vol_ratio,pe_ratio,eps_growth,revenue_growth,signals
0939.HK,7.8,HOLD,-5,43.2,-0.002,7.96,7.91,16.4,-3.82,-3.23,3.45,0.51,5.2585864,0.0,0.03,"['RSI=43.2 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=16.4%(買いシグナル)']"
9988.HK,119.9,HOLD,-10,28.9,-0.341,134.08,149.95,0.2,-10.92,-18.99,-18.1,0.51,14.800639,-0.709,0.017,"['RSI=28.9 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=0.2%(買いシグナル)', '1ヶ月モメンタム -19.0%(強い下落)']"
1299.HK,80.7,HOLD,-20,43.8,-0.163,84.16,84.8,0.3,-2.77,-4.89,-2.36,0.44,12.096848,0.094,0.06,"['RSI=43.8 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=0.3%(買いシグナル)']"
0700.HK,501.5,HOLD,-20,35.5,-0.447,526.05,561.94,18.2,-8.82,-3.56,-18.39,0.47,12.868806,0.149,0.127,"['RSI=35.5 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=18.2%(買いシグナル)']"
005930.KS,188500.0,HOLD,-15,51.3,-1145.16,194020.0,171942.0,38.1,-2.78,-2.33,78.19,0.53,6.5633807,1.622,0.238,"['RSI=51.3 中立', 'MACD デッドクロス(売りシグナル)']"
1810.HK,32.44,HOLD,0,39.9,0.094,33.93,35.31,22.4,-8.26,-9.23,-18.49,0.48,18.578676,1.187,0.223,"['RSI=39.9 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)']"
000660.KS,944000.0,HOLD,-15,50.9,-2449.557,965726.12,874270.01,41.5,-2.68,-0.55,72.9,0.48,4.325509,0.852,0.661,"['RSI=50.9 中立', 'MACD デッドクロス(売りシグナル)']"
3690.HK,77.85,HOLD,0,40.0,0.863,78.48,88.12,42.8,-2.69,-4.36,-24.27,0.38,43.69427,,0.02,"['RSI=40.0 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)']"
005935.KS,134600.0,HOLD,-15,52.2,-434.431,136080.0,122522.0,45.6,-4.54,-1.1,62.63,0.43,5.9249687,1.622,0.238,"['RSI=52.2 中立', 'MACD デッドクロス(売りシグナル)']"
005380.KS,490000.0,HOLD,-15,45.6,-8332.102,539696.2,495630.42,20.8,-6.13,-5.9,70.59,0.45,9.521648,,,"['RSI=45.6 中立', 'MACD デッドクロス(売りシグナル)']"
0388.HK,381.6,HOLD,-20,32.6,-1.6,403.46,411.83,-32.4,-5.64,-6.27,-4.75,0.74,25.188484,0.151,0.138,"['RSI=32.6 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-32.4%(買いシグナル)']"
1398.HK,6.29,HOLD,15,43.5,0.007,6.41,6.39,21.5,-3.82,-2.48,2.61,0.49,5.4422307,0.08,0.058,"['RSI=43.5 中立', 'MACD ゴールデンクロス(買いシグナル)']"
2318.HK,58.4,HOLD,-10,27.2,-0.381,64.39,67.96,-0.4,-7.45,-16.33,-10.5,0.65,6.25228,0.46,0.355,"['RSI=27.2 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-0.4%(買いシグナル)', '1ヶ月モメンタム -16.3%(強い下落)']"
1211.HK,105.8,HOLD,20,63.2,0.863,98.88,97.67,96.0,1.24,6.49,12.85,1.09,18.823034,-0.36,-0.031,"['RSI=63.2 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=96.0%(売りシグナル)']"
3988.HK,4.58,HOLD,0,48.4,0.011,4.58,4.58,49.2,-1.51,-2.35,4.09,0.38,5.501378,-0.053,0.028,"['RSI=48.4 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)']"
402340.KS,559000.0,HOLD,-15,49.6,-2108.012,582400.0,527750.0,36.9,-4.77,-3.62,92.43,0.72,3.520668,,1.081,"['RSI=49.6 中立', 'MACD デッドクロス(売りシグナル)']"
105560.KS,145300.0,HOLD,-25,44.7,-769.643,153024.25,144887.11,25.6,-3.58,-13.04,17.18,0.38,7.6995726,0.089,0.318,"['RSI=44.7 中立', 'MACD デッドクロス(売りシグナル)', '1ヶ月モメンタム -13.0%(強い下落)']"
9961.HK,394.8,HOLD,10,37.8,2.714,406.7,453.37,15.7,-3.99,-2.95,-31.34,0.38,10.512873,0.978,0.208,"['RSI=37.8 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=15.7%(買いシグナル)']"
9888.HK,110.9,SELL,-30,32.0,-0.039,120.14,135.18,-2.6,-6.96,-14.49,-7.81,0.37,11.923347,-0.81,-0.041,"['RSI=32.0 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-2.6%(買いシグナル)', '1ヶ月モメンタム -14.5%(強い下落)']"
9999.HK,175.8,HOLD,10,37.6,0.487,182.09,194.62,11.4,-5.89,-1.88,-17.82,0.17,11.190065,-0.294,0.03,"['RSI=37.6 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=11.4%(買いシグナル)']"
9618.HK,105.6,HOLD,0,44.7,0.447,106.39,109.51,45.5,-5.8,-0.66,-5.97,0.47,6.7722178,,0.015,"['RSI=44.7 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)']"
0857.HK,10.76,HOLD,10,64.6,-0.003,10.3,9.41,75.9,1.7,12.55,33.17,0.46,10.137526,-0.042,0.023,"['RSI=64.6 中立', 'MACD デッドクロス(売りシグナル)', 'MA 上昇トレンド(買いシグナル)', '1ヶ月モメンタム +12.6%(強い上昇)']"
034020.KS,102400.0,BUY,30,52.3,231.456,101400.0,95786.0,53.9,-1.92,0.39,32.3,0.61,94.67688,,0.143,"['RSI=52.3 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)']"
012450.KS,1248000.0,HOLD,-15,43.3,-20665.657,1357600.0,1281320.0,22.7,-10.6,0.97,42.32,0.31,21.497223,-0.601,0.745,"['RSI=43.3 中立', 'MACD デッドクロス(売りシグナル)']"
086790.KS,105900.0,HOLD,-15,41.4,-972.514,114428.37,109126.96,18.6,-3.64,-17.07,15.87,0.33,6.3136044,,0.829,"['RSI=41.4 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=18.6%(買いシグナル)', '1ヶ月モメンタム -17.1%(強い下落)']"
000270.KS,160700.0,HOLD,-15,46.8,-1352.273,171925.0,160886.0,30.6,-3.95,-6.95,32.81,0.34,6.74637,-0.142,0.035,"['RSI=46.8 中立', 'MACD デッドクロス(売りシグナル)']"
2899.HK,32.72,HOLD,-10,27.7,-0.902,40.01,40.8,1.4,-11.42,-25.67,-7.52,1.05,9.19129,0.814,0.295,"['RSI=27.7 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=1.4%(買いシグナル)', '1ヶ月モメンタム -25.7%(強い下落)']"
2628.HK,26.22,HOLD,-10,29.3,-0.16,29.35,31.79,0.6,-8.9,-19.27,-7.94,0.61,5.966343,0.914,0.497,"['RSI=29.3 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=0.6%(買いシグナル)', '1ヶ月モメンタム -19.3%(強い下落)']"
055550.KS,91700.0,HOLD,-15,48.3,-179.282,94150.0,89426.75,35.4,0.55,-9.92,19.66,0.5,7.346244,0.35,0.216,"['RSI=48.3 中立', 'MACD デッドクロス(売りシグナル)']"
3968.HK,47.48,HOLD,-5,37.7,-0.133,48.93,48.5,-1.2,-4.96,-3.81,-4.79,0.33,6.6889215,0.028,0.546,"['RSI=37.7 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=-1.2%(買いシグナル)']"
068270.KS,190100.0,SELL,-30,35.0,-2406.692,215150.0,216790.0,14.4,-7.72,-21.77,3.47,0.67,27.415646,1.287,0.251,"['RSI=35.0 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=14.4%(買いシグナル)', '1ヶ月モメンタム -21.8%(強い下落)']"
2388.HK,40.32,HOLD,-5,39.6,-0.216,42.03,41.49,11.8,-2.66,-6.97,3.44,0.39,10.533851,0.105,0.104,"['RSI=39.6 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=11.8%(買いシグナル)']"
0016.HK,126.4,HOLD,-5,42.0,-1.863,136.58,126.46,-5.1,-5.25,-8.62,33.22,0.33,14.486443,0.362,0.32,"['RSI=42.0 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=-5.1%(買いシグナル)']"
