ticker,price,judgment,score,rsi,macd_diff,ma20,ma50,bb_pct,momentum_1w,momentum_1m,momentum_3m,vol_ratio,pe_ratio,eps_growth,revenue_growth,signals
012450.KS,1255000.0,HOLD,-15,43.8,-20218.933,1357950.0,1281460.0,24.3,-10.1,1.54,43.12,0.36,21.617802,-0.601,0.745,"['RSI=43.8 中立', 'MACD デッドクロス(売りシグナル)']"
0857.HK,10.82,BUY,40,66.3,0.001,10.31,9.42,78.9,2.27,13.18,33.91,0.57,10.194054,-0.042,0.023,"['RSI=66.3 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', '1ヶ月モメンタム +13.2%(強い上昇)']"
2899.HK,32.54,HOLD,-10,27.4,-0.914,40.0,40.8,0.5,-11.91,-26.08,-8.03,1.24,9.140726,0.814,0.295,"['RSI=27.4 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=0.5%(買いシグナル)', '1ヶ月モメンタム -26.1%(強い下落)']"
086790.KS,104700.0,HOLD,-15,40.2,-1049.095,114368.37,109102.96,14.8,-4.73,-18.01,14.55,0.41,6.242062,,0.829,"['RSI=40.2 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=14.8%(買いシグナル)', '1ヶ月モメンタム -18.0%(強い下落)']"
000270.KS,161100.0,HOLD,-15,47.0,-1326.746,171945.0,160894.0,31.2,-3.71,-6.72,33.14,0.42,6.763162,-0.142,0.035,"['RSI=47.0 中立', 'MACD デッドクロス(売りシグナル)']"
2628.HK,26.02,HOLD,-10,28.7,-0.173,29.34,31.79,-1.7,-9.59,-19.89,-8.64,0.96,5.920833,0.914,0.497,"['RSI=28.7 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-1.7%(買いシグナル)', '1ヶ月モメンタム -19.9%(強い下落)']"
055550.KS,90200.0,HOLD,-25,46.0,-275.009,94075.0,89396.75,27.1,-1.1,-11.39,17.7,0.59,7.2260766,0.35,0.216,"['RSI=46.0 中立', 'MACD デッドクロス(売りシグナル)', '1ヶ月モメンタム -11.4%(強い下落)']"
3968.HK,47.42,HOLD,-5,37.3,-0.137,48.92,48.49,-2.7,-5.08,-3.93,-4.91,0.41,6.6804686,0.028,0.546,"['RSI=37.3 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=-2.7%(買いシグナル)']"
035420.KS,210500.0,SELL,-30,35.0,-397.744,229203.16,244872.08,19.7,-6.03,-16.75,-9.68,0.45,13.435226,-0.437,0.107,"['RSI=35.0 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=19.7%(買いシグナル)', '1ヶ月モメンタム -16.7%(強い下落)']"
068270.KS,189700.0,SELL,-30,34.8,-2432.22,215130.0,216782.0,13.9,-7.91,-21.93,3.25,0.77,27.357958,1.287,0.251,"['RSI=34.8 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=13.9%(買いシグナル)', '1ヶ月モメンタム -21.9%(強い下落)']"
