ticker,price,judgment,score,rsi,macd_diff,ma20,ma50,bb_pct,momentum_1w,momentum_1m,momentum_3m,vol_ratio,pe_ratio,eps_growth,revenue_growth,signals,order_book
0939.HK,8.53,HOLD,-5,42.5,-0.055,8.75,8.58,7.9,-2.29,-3.51,7.3,1.34,5.329219,0.0,0.05,"['RSI=42.5 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=7.9%(買いシグナル)']",{}
9988.HK,122.8,HOLD,-5,40.7,-1.307,130.72,128.89,13.7,-3.76,-6.76,-8.9,0.74,12.611677,1.041,0.029,"['RSI=40.7 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=13.7%(買いシグナル)']",{}
1299.HK,82.0,HOLD,-5,42.6,-0.371,84.43,83.77,9.5,-1.04,-3.0,-1.86,1.09,12.261277,0.094,0.06,"['RSI=42.6 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=9.5%(買いシグナル)']",{}
0700.HK,436.0,SELL,-30,38.3,-0.811,450.79,477.73,22.4,-0.68,-6.75,-13.6,1.12,11.353079,0.229,0.091,"['RSI=38.3 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)']",{}
005930.KS,361000.0,HOLD,10,77.8,5060.131,290525.0,237612.54,113.1,17.59,55.27,92.21,0.47,6.532269,4.921,0.692,"['RSI=77.8 買われすぎ(売りシグナル)', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=113.1%(売りシグナル)', '1ヶ月モメンタム +55.3%(強い上昇)']",{}
1810.HK,28.72,HOLD,-20,37.7,-0.205,30.35,31.35,14.5,-3.49,-7.3,-9.06,1.07,16.005173,-0.581,-0.109,"['RSI=37.7 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=14.5%(買いシグナル)']",{}
000660.KS,2356000.0,HOLD,10,81.3,30748.039,1935504.45,1408555.71,90.4,5.06,62.85,155.02,0.28,6.162758,3.966,1.981,"['RSI=81.3 買われすぎ(売りシグナル)', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=90.4%(売りシグナル)', '1ヶ月モメンタム +62.8%(強い上昇)']",{}
3690.HK,78.25,SELL,-40,43.2,-0.862,81.81,83.02,25.6,-0.7,-7.34,3.44,1.65,14.790253,,0.028,"['RSI=43.2 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', '出来高急増 1.6x(注目)']",{}
005935.KS,233000.0,HOLD,10,77.9,3190.905,191235.0,160321.44,120.2,21.35,37.38,82.57,0.53,4.920496,4.921,0.692,"['RSI=77.9 買われすぎ(売りシグナル)', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=120.2%(売りシグナル)', '1ヶ月モメンタム +37.4%(強い上昇)']",{}
005380.KS,724000.0,BUY,40,63.9,5074.469,653720.79,562837.97,79.7,6.71,34.82,31.4,0.4,14.625756,-0.263,0.034,"['RSI=63.9 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', '1ヶ月モメンタム +34.8%(強い上昇)']",{}
